SUMLEV|REGION|DIVISION|STATE|COUNTY|STNAME|CTYNAME|CENSUS2010POP|ESTIMATESBASE2010|POPESTIMATE2010|POPESTIMATE2011|POPESTIMATE2012|POPESTIMATE2013|POPESTIMATE2014|POPESTIMATE2015|NPOPCHG_2010|NPOPCHG_2011|NPOPCHG_2012|NPOPCHG_2013|NPOPCHG_2014|NPOPCHG_2015|BIRTHS2010|BIRTHS2011|BIRTHS2012|BIRTHS2013|BIRTHS2014|BIRTHS2015|DEATHS2010|DEATHS2011|DEATHS2012|DEATHS2013|DEATHS2014|DEATHS2015|NATURALINC2010|NATURALINC2011|NATURALINC2012|NATURALINC2013|NATURALINC2014|NATURALINC2015|INTERNATIONALMIG2010|INTERNATIONALMIG2011|INTERNATIONALMIG2012|INTERNATIONALMIG2013|INTERNATIONALMIG2014|INTERNATIONALMIG2015|DOMESTICMIG2010|DOMESTICMIG2011|DOMESTICMIG2012|DOMESTICMIG2013|DOMESTICMIG2014|DOMESTICMIG2015|NETMIG2010|NETMIG2011|NETMIG2012|NETMIG2013|NETMIG2014|NETMIG2015|RESIDUAL2010|RESIDUAL2011|RESIDUAL2012|RESIDUAL2013|RESIDUAL2014|RESIDUAL2015|GQESTIMATESBASE2010|GQESTIMATES2010|GQESTIMATES2011|GQESTIMATES2012|GQESTIMATES2013|GQESTIMATES2014|GQESTIMATES2015|RBIRTH2011|RBIRTH2012|RBIRTH2013|RBIRTH2014|RBIRTH2015|RDEATH2011|RDEATH2012|RDEATH2013|RDEATH2014|RDEATH2015|RNATURALINC2011|RNATURALINC2012|RNATURALINC2013|RNATURALINC2014|RNATURALINC2015|RINTERNATIONALMIG2011|RINTERNATIONALMIG2012|RINTERNATIONALMIG2013|RINTERNATIONALMIG2014|RINTERNATIONALMIG2015|RDOMESTICMIG2011|RDOMESTICMIG2012|RDOMESTICMIG2013|RDOMESTICMIG2014|RDOMESTICMIG2015|RNETMIG2011|RNETMIG2012|RNETMIG2013|RNETMIG2014|RNETMIG2015
050|2|3|26|129|Michigan|Ogemaw County|21699|21699|21637|21535|21424|21204|21010|20937|-62|-102|-111|-220|-194|-73|48|184|190|198|168|173|96|284|272|327|283|270|-48|-100|-82|-129|-115|-97|1|12|12|13|13|13|-13|4|-42|-66|-74|38|-12|16|-30|-53|-61|51|-2|-18|1|-38|-18|-27|244|244|244|244|244|244|244|8.5240433614|8.8456435206|9.2896687623|7.959444734|8.2485040647|13.156675623|12.66323704|15.342028714|13.407874165|12.873387847|-4.632632262|-3.817593519|-6.052359951|-5.448429431|-4.624883782|0.5559158714|0.5586722224|0.609927747|0.6159094139|0.6198297852|0.1853052905|-1.955352778|-3.096556254|-3.505945895|1.8118101414|0.7412211619|-1.396680556|-2.486628507|-2.890036481|2.4316399266
050|3|5|45|027|South Carolina|Clarendon County|34971|34966|34944|34643|34251|34168|34051|33775|-22|-301|-392|-83|-117|-276|80|363|342|350|360|350|64|385|358|370|388|379|16|-22|-16|-20|-28|-29|5|1|-3|-3|-2|-2|-37|-264|-379|-47|-63|-215|-32|-263|-382|-50|-65|-217|-6|-16|6|-13|-24|-30|1661|1661|1661|1555|1482|1545|1446|10.432983172|9.9282956426|10.231076163|10.554244419|10.320526052|11.065285183|10.39277731|10.815709087|11.375130096|11.175655353|-0.63230201|-0.464481667|-0.584632924|-0.820885677|-0.855129301|0.0287410005|-0.087090313|-0.087694939|-0.058634691|-0.058974435|-7.587624125|-11.0024095|-1.37388737|-1.846992773|-6.339751718|-7.558883125|-11.08949981|-1.461582309|-1.905627464|-6.398726152
050|2|3|18|123|Indiana|Perry County|19338|19338|19417|19467|19419|19449|19387|19347|79|50|-48|30|-62|-40|50|218|197|210|176|180|52|208|195|210|191|169|-2|10|2|0|-15|11|0|2|-2|-2|-2|-2|74|28|-46|46|-39|-54|74|30|-48|44|-41|-56|7|10|-2|-14|-6|5|1532|1620|1642|1668|1658|1670|1612|11.212838185|10.132181248|10.805804261|9.0637552786|9.2941601694|10.69848781|10.029316464|10.805804261|9.8362344217|8.7261837146|0.5143503755|0.1028647842|0|-0.772479143|0.5679764548|0.1028700751|-0.102864784|-0.102912422|-0.102997219|-0.103268446|1.4401810513|-2.365890038|2.3669856952|-2.008445772|-2.788248051|1.5430511264|-2.468754822|2.2640732736|-2.111442991|-2.891516497
050|3|5|45|025|South Carolina|Chesterfield County|46734|46738|46619|46593|46096|46143|46109|46017|-119|-26|-497|47|-34|-92|115|521|502|512|536|531|138|477|470|490|499|529|-23|44|32|22|37|2|4|33|17|20|22|23|-101|-125|-543|-10|-70|-69|-97|-92|-526|10|-48|-46|1|22|-3|15|-23|-48|874|874|874|871|872|872|872|11.178818178|10.831921803|11.10159477|11.620344274|11.527690337|10.234733725|10.141440732|10.62457312|10.818193643|11.484271541|0.9440844526|0.6904810711|0.4770216503|0.8021506309|0.043418796|0.7080633395|0.366818069|0.4336560457|0.4769544292|0.499316154|-2.682058104|-11.71660068|-0.216828023|-1.517582275|-1.497948462|-1.973994765|-11.34978261|0.2168280229|-1.040627845|-0.998632308
050|3|5|37|199|North Carolina|Yancey County|17818|17818|17796|17677|17615|17555|17586|17587|-22|-119|-62|-60|31|1|44|154|184|168|163|166|38|222|237|232|206|202|6|-68|-53|-64|-43|-36|1|3|1|1|1|2|-26|-45|-9|16|88|42|-25|-42|-8|17|89|44|-3|-9|-1|-13|-15|-7|165|165|163|168|174|165|165|8.6826600513|10.427292304|9.5535968155|9.2769130076|9.4390583686|12.516561892|13.430805848|13.193062269|11.724196807|11.486083075|-3.833901841|-3.003513544|-3.639465454|-2.4472838|-2.047024706|0.1691427283|0.0566700669|0.0568666477|0.0569135767|0.1137235948|-2.537140924|-0.510030602|0.9098663634|5.0083947526|2.3881954909|-2.367998196|-0.453360535|0.9667330111|5.0653083293|2.5019190857
050|1|1|44|009|Rhode Island|Washington County|126979|127094|127085|126486|126186|126407|126430|126517|-9|-599|-300|221|23|87|238|952|922|901|915|924|236|1076|1001|1061|1174|1150|2|-124|-79|-160|-259|-226|34|144|110|115|130|130|-47|-592|-336|196|177|64|-13|-448|-226|311|307|194|2|-27|5|70|-25|119|6639|6639|6465|6547|6703|6819|6944|7.5087450852|7.2979989868|7.1340060888|7.2378647113|7.3058783065|8.4867749072|7.9233156028|8.4008662156|9.2866154874|9.0928139096|-0.978029822|-0.625316616|-1.266860127|-2.048750776|-1.786935603|1.1357765675|0.8706940223|0.9105557161|1.0283305054|1.0278833115|-4.669303666|-2.659574468|1.5519036553|1.4001115343|0.5060348611|-3.533527099|-1.788880446|2.4624593714|2.4284420397|1.5339181726
050|3|7|40|123|Oklahoma|Pontotoc County|37492|37492|37600|37719|38036|38153|38174|38194|108|119|317|117|21|20|143|580|561|516|556|550|65|468|408|412|433|488|78|112|153|104|123|62|4|18|27|27|33|33|29|1|137|-30|-109|-103|33|19|164|-3|-76|-70|-3|-12|0|16|-26|28|1696|1696|1696|1696|1696|1696|1696|15.401160398|14.810903571|13.545262439|14.568894362|14.403938823|12.427143218|10.771566233|10.815209545|11.34591953|12.780222083|2.9740171803|4.0393373375|2.7300528948|3.222974832|1.62371674|0.4779670468|0.712824236|0.7087637323|0.8647005647|0.8642363294|0.0265537248|3.6169229754|-0.787515258|-2.856132168|-2.697464907|0.5045207717|4.3297472114|-0.078751526|-1.991431603|-1.833228577
050|3|5|51|177|Virginia|Spotsylvania County|122397|122660|123176|124853|126179|127748|129202|130475|516|1677|1326|1569|1454|1273|394|1626|1551|1561|1504|1548|130|760|788|764|849|864|264|866|763|797|655|684|56|177|237|205|223|235|187|539|341|532|514|395|243|716|578|737|737|630|9|95|-15|35|62|-41|524|524|524|524|524|524|524|13.111370041|12.356990344|12.294872148|11.706557696|11.922503726|6.1283156405|6.278084069|6.017477464|6.6082895505|6.6544206842|6.9830544009|6.0789062749|6.2773946843|5.0982681456|5.2680830416|1.4272524584|1.8882054877|1.6146372776|1.7357462541|1.8099408111|4.3462659608|2.7167851111|4.1901806425|4.0007783615|3.0422409378|5.7735184192|4.6049905988|5.8048179201|5.7365246157|4.8521817489
050|4|9|53|065|Washington|Stevens County|43531|43531|43487|43487|43567|43341|43556|43791|-44|0|80|-226|215|235|103|428|454|427|456|458|133|403|431|420|430|444|-30|25|23|7|26|14|13|31|26|26|33|33|-25|-42|32|-247|197|176|-12|-11|58|-221|230|209|-2|-14|-1|-12|-41|12|266|266|266|266|266|266|266|9.8420217536|10.430307625|9.8264831776|10.495183953|10.486908537|9.2671373054|9.9018999701|9.6653932895|9.896774342|10.166348014|0.5748844482|0.528407655|0.1610898882|0.5984096114|0.320560523|0.7128567158|0.5973303926|0.5983338703|0.7595198914|0.755606947|-0.965805873|0.7351758679|-5.684171768|4.5341035939|4.0299037174|-0.252949157|1.3325062605|-5.085837898|5.2936234853|4.7855106644
050|4|8|35|031|New Mexico|McKinley County|71492|71491|71753|73497|72709|73230|73846|76708|262|1744|-788|521|616|2862|299|1296|1245|1193|1169|1222|148|491|541|525|610|579|151|805|704|668|559|643|3|36|29|32|36|36|105|919|-1549|-156|25|2204|108|955|-1520|-124|61|2240|3|-16|28|-23|-4|-21|780|778|778|772|774|772|775|17.845094664|17.030764811|16.349296624|15.896543284|16.233378057|6.760757315|7.4005170786|7.194786863|8.2950311404|7.6915923855|11.084337349|9.6302477327|9.1545097609|7.6015121434|8.5417856716|0.495697074|0.3967005458|0.4385393897|0.4895428214|0.4782337234|12.65404475|-21.18928088|-2.137879525|0.3399602926|29.278531291|13.149741824|-20.79258033|-1.699340135|0.829503114|29.756765015
